I1,I2,I3,C1,C2,C3,M1,M2,M3,D,ID,respiration,aboveground,ace,phos,cello,gluco,belowground,WSA,PH,rack,Lv,remark
0,0,0,0,0,0,0,0,1,0,M3,3.672585726,2.2,0.236153085,2.348765824,0.526101661,2.554739165,0.8,39.87138264,4.48,W,1,1
0,0,0,0,0,0,0,0,1,1,M3,1341.764591,113.5,0.442217169,1.653983387,0.593573972,1.607580257,37.8,32.51533742,4.46,,1,1
0,0,0,0,0,0,0,0,1,1,M3,1123.3329,75.8,0.484159415,1.369505539,0.846139241,2.386396469,24.8,40.83601286,4.45,H,1,1
0,0,0,0,0,0,0,0,1,1,M3,1237.323569,3.4,0.518807359,3.160257119,0.480512263,0.989707063,0.2,36.08562691,4.47,H,1,1
0,1,0,0,0,0,0,0,0,1,I2,961.410151,175.8,0.488718355,2.821983783,0.415775316,1.398539326,142.9,41.89202532,4.45,Z,1,1
0,1,0,0,0,0,0,0,0,1,I2,1339.617402,111.3,0.24800633,2.387972706,0.587191456,1.470686196,90.4,43.34365325,4.51,G,1,1
0,1,0,0,0,0,0,0,0,1,I2,1059.907673,132.6,0.368362343,2.113524526,0.72487144,1.433687801,45.6,40.63492063,4.46,G,1,1
0,1,0,0,0,0,0,0,0,1,I2,1114.619385,106.4,0.282654271,2.391619857,0.623662975,1.714875602,36.9,39.14373089,4.5,G,1,1
0,1,0,0,0,0,0,0,0,1,I2,1232.742984,6.87,0.410304589,2.571242089,0.827903481,2.149606742,0.1,34.169279,4.42,G,1,1
0,0,1,0,0,0,0,0,0,1,I3,925.7048477,9.3,0.549808149,2.636890823,0.505130538,1.503984751,0.8,37.61755486,4.23,F,1,1
0,0,1,0,0,0,0,0,0,1,I3,915.9471499,12.5,0.455893988,2.602242879,0.465011867,1.600180578,1.2,31.37829912,4.29,A,1,1
0,0,1,0,0,0,0,0,0,1,I3,940.1734686,148.7,0.433099287,2.811954114,0.505130538,1.577981541,33,36.22291022,4.25,F,1,1
0,0,1,0,0,0,0,0,0,1,I3,886.6577052,141.1,0.447687896,1.593805381,0.595397547,1.674177368,51.1,36.70886076,4.22,,1,1
0,0,1,0,0,0,0,0,0,1,I3,1160.895142,77.3,0.242535602,2.633243672,0.566220332,1.788872392,25.8,34.18530351,4.24,F,1,1
0,0,0,1,0,0,0,0,0,1,C1,1528.703776,2.3,0.448599684,3.235935522,0.581720728,1.235746388,1.8,40.82278481,4.51,,1,1
0,0,0,1,0,0,0,0,0,1,C1,1040.740319,11.6,0.413039953,1.855488528,0.379303797,1.261645265,1.9,27.79552716,4.62,F,1,1
0,0,0,1,0,0,0,0,0,1,C1,1186.424667,20.3,0.286301425,2.170055379,0.581720728,1.409638844,3.5,33.33333333,4.6,A,1,1
0,0,0,1,0,0,0,0,0,1,C1,949.222481,10.2,0.282654271,2.013227848,0.194210839,1.134000803,1.4,28,4.61,A,1,1
0,0,0,1,0,0,0,0,0,1,C1,847.1410082,3.6,0.3109197,2.016874999,0.630957278,2.010862761,4.5,42.58064516,4.71,F,1,1
0,0,0,0,1,0,0,0,0,1,C2,1000.499293,106.7,0.342832278,1.516303401,0.528837025,1.759273676,36.6,44.30379747,4.82,G,1,1
0,0,0,0,1,0,0,0,0,1,C2,988.6032318,3.1,0.500571598,1.673130934,0.450423259,1.644578652,0.9,42.15384615,4.76,H,1,1
0,0,0,0,1,0,0,0,0,1,C2,1399.913535,65.8,0.568043909,2.531123417,0.669252373,1.888768058,15.2,33.12693498,4.91,H,1,1
0,0,0,0,1,0,0,0,0,1,C2,964.3391339,17.8,0.802373417,3.091873021,0.531572389,1.72782504,1.8,32.60188088,4.91,Z,1,1
0,0,0,0,1,0,0,0,0,1,C2,812.9754449,21.2,0.382950949,2.560300633,0.565308544,1.827720706,1.6,37.69968051,4.84,F,1,1
0,0,0,0,0,1,0,0,0,1,C3,1048.422077,102.8,0.557102453,2.686127373,0.614545095,1.635329053,49,27.35849057,4.67,W,1,1
0,0,0,0,0,1,0,0,0,1,C3,1229.68626,227.1,0.872581092,2.170055379,0.540690269,1.607580257,75.7,42.94670846,4.57,H,1,1
0,0,0,0,0,1,0,0,0,1,C3,1889.685408,10.7,0.358332674,2.35879549,0.716665348,1.148800161,0.9,52.64797508,4.6,W,1,1
0,0,0,0,0,1,0,0,0,1,C3,1541.562647,344,0.528837024,3.035342169,0.63460443,1.376340289,166.3,29.53846154,4.48,H,1,1
0,0,0,0,0,1,0,0,0,1,C3,1830.104778,57.5,0.58536788,2.811954114,0.442217168,1.552082665,0.5,36.02484472,4.99,N,1,1
0,0,0,0,0,0,1,0,0,1,M1,985.0159457,63.2,0.175063291,2.078876582,0.318214003,1.417038523,19.1,34.7826087,4.46,W,1,1
0,0,0,0,0,0,1,0,0,1,M1,906.6185711,76.9,0.220652691,2.059729035,0.290860364,1.72967496,38,27.24458204,4.62,W,1,1
0,0,0,0,0,0,1,0,0,1,M1,1207.466462,108.5,0.427628559,1.334857595,0.349214794,1.5835313,46.7,38.19875776,4.41,H,1,1
0,0,0,0,0,0,1,0,0,1,M1,922.1613619,3.5,0.367450553,2.197409018,0.310919699,1.51138443,1.3,30.19480519,4.34,H,1,1
0,0,0,0,0,0,1,0,0,1,M1,917.7932854,164.2,0.307272547,2.648744066,0.422157832,1.124751204,57,33.01886792,4.45,H,1,1
0,0,0,0,0,0,0,1,0,1,M2,998.5252692,194.6,0.522454509,2.451797863,0.521542722,1.331942215,70.9,43.47826087,4.41,W,1,1
0,0,0,0,0,0,0,1,0,1,M2,811.6551491,85.3,0.47686511,2.176437896,0.626398339,1.374490369,34.3,42.27129338,4.44,H,1,1
0,0,0,0,0,0,0,1,0,1,M2,1142.211509,95.5,0.375656645,1.885577531,0.598132911,1.633479133,51.1,37.57961783,4.47,W,1,1
0,0,0,0,0,0,0,1,0,1,M2,1049.176156,86.1,0.458629352,2.273999208,0.486894778,1.444787319,35.8,32.81733746,4.48,Z,1,1
0,0,0,0,0,0,0,1,0,1,M2,1089.295137,44.3,0.422157831,2.652391219,0.471394383,1.775922953,16.4,45.09202454,4.52,Z,1,1
1,0,0,0,0,0,0,0,0,1,I1,822.7507041,44.6,0.592662184,2.17917326,0.516071994,1.182098716,15.7,39.38461538,5.18,W,1,1
1,0,0,0,0,0,0,0,0,1,I1,1076.963109,107.8,0.423069621,2.218380142,0.246182753,1.422588283,27.4,45.34161491,4.99,H,1,1
1,0,0,0,0,0,0,0,0,1,I1,1293.870348,149.4,0.406657438,3.010723893,0.331890823,1.818471108,106.8,37.21682848,5.14,Z,1,1
1,0,0,0,0,0,0,0,0,1,I1,1020.688546,29.2,0.362891615,2.288587817,0.500571598,1.696376404,7.1,35.69230769,5.11,N,1,1
1,0,0,0,0,0,0,0,0,1,I1,1145.214427,3.7,0.308184336,3.299760679,0.498748022,1.350441413,0.7,53.41614907,5.16,H,1,1
0,0,0,0,0,0,0,1,0,0,M1,889.867435,36,0.356509097,2.671538767,0.34647943,2.08855939,8.5,30.37974684,4.62,F,1,1
1,1,1,0,0,0,0,0,0,0,3_in,1085.473325,83.3,0.436746441,3.020753559,0.172327927,2.182905297,13.6,61.99376947,5.07,Y,3,3
1,1,1,0,0,0,0,0,0,0,3_in,969.211091,69.2,0.404833861,3.014371044,0.244359177,1.344891653,14.2,84.44444444,4.85,A,3,3
1,1,1,0,0,0,0,0,0,0,3_in,1100.733863,6.3,0.311831487,2.279469936,0.217917326,1.041504815,2.4,79.03225806,4.8,W,3,3
1,1,1,0,0,0,0,0,0,0,3_in,870.8363811,111.5,0.33736155,3.34899723,0.179622231,1.137700642,20.4,55.75757576,4.55,Z,3,3
0,0,0,1,1,1,0,0,0,0,3_in,1391.724118,124.2,0.406657438,3.356291535,0.308184335,1.272744783,37.3,48.02631579,5.22,F,3,3
0,0,0,1,1,1,0,0,0,0,3_in,1028.540665,215.7,0.289036789,3.414645964,0.156827532,1.2930939,90.5,49.83606557,5.16,F,3,3
0,0,0,1,1,1,0,0,0,0,3_in,1445.778383,202,0.398451346,2.745393593,0.127650316,1.520634029,78.5,63.93442623,5.24,F,3,3
0,0,0,1,1,1,0,0,0,0,3_in,1504.024667,116.3,0.328243671,3.624357199,0.163210047,1.502134831,37.3,58.66261398,5.35,Z,3,3
0,0,0,1,1,1,0,0,0,0,3_in,1442.270699,262,0.320949366,2.602242879,0.356509098,1.502134831,46.2,58.36065574,5.35,F,3,3
0,0,0,0,0,0,1,1,1,0,3_in,1000.332888,44.1,0.230682357,2.849337422,0.099384889,1.344891653,10.7,46.05678233,4.72,H,3,3
0,0,0,0,0,0,1,1,1,0,3_in,781.9804448,2.4,0.272624605,1.979491694,0.158651108,1.557632424,0.7,46.3022508,4.6,H,3,3
0,0,0,0,0,0,1,1,1,0,3_in,1035.649065,113.3,0.264418514,1.952138055,0.084796282,1.330092295,32.3,50.15772871,4.58,W,3,3
0,0,0,0,0,0,1,1,1,0,3_in,786.3204526,19.7,0.26077136,2.483710443,0.243447389,1.098852327,3.6,45.9807074,4.54,W,3,3
0,0,0,0,0,0,1,1,1,0,3_in,699.1325876,2.1,0.22977057,1.426948181,0.437658228,1.363390851,0.1,44.08945687,4.57,W,3,3
1,1,1,0,0,0,0,0,0,1,3_in,1122.469792,4.8,0.35559731,2.483710443,0.36015625,1.085902889,1.3,38.67924528,4.79,Y,3,3
1,1,1,0,0,0,0,0,0,1,3_in,997.4860451,91.1,0.459541139,2.673362341,0.30180182,1.383739968,20.9,49.09090909,4.83,Y,3,3
1,1,1,0,0,0,0,0,0,1,3_in,1236.408426,67.1,0.285389635,2.482798656,0.210623022,1.670477528,14.4,29.32098765,4.72,Z,3,3
1,1,1,0,0,0,0,0,0,1,3_in,728.362648,62.2,0.322772943,2.355148339,0.36471519,1.328242376,12.4,32.17665615,4.77,A,3,3
1,1,1,0,0,0,0,0,0,1,3_in,956.4980535,70,0.333714399,2.539329509,0.481424051,1.343041734,33.5,37.70491803,4.81,F,3,3
0,0,0,1,1,1,0,0,0,1,3_in,2252.033408,77.3,0.712106407,2.480063292,0.620927611,1.613130016,28.9,28.66043614,5.09,N,3,3
0,0,0,1,1,1,0,0,0,1,3_in,1742.463415,41.2,0.55436709,2.964222707,0.545249209,2.103358748,14.6,25.55205047,4.89,N,3,3
0,0,0,1,1,1,0,0,0,1,3_in,1452.382577,43.5,0.403922074,3.455676423,0.552543513,1.187648475,13.9,33.75,4.93,F,3,3
0,0,0,1,1,1,0,0,0,1,3_in,1351.591,1.6,0.356509097,3.214964398,0.611809731,1.849919743,3,40.96774194,4.95,N,3,3
0,0,0,1,1,1,0,0,0,1,3_in,1308.832283,90.6,0.424893195,3.183051821,0.740371835,1.796272071,25.3,37.45928339,5,Y,3,3
0,0,0,0,0,0,1,1,1,1,3_in,991.880728,42.8,0.447687896,2.093465189,0.782314082,1.642728732,27.1,29.87421384,4.52,F,3,3
0,0,0,0,0,0,1,1,1,1,3_in,1106.465032,115,0.485071202,2.963310917,0.472306171,2.023812199,55.7,28.52459016,4.41,A,3,3
0,0,0,0,0,0,1,1,1,1,3_in,1044.024456,63.7,0.808755934,2.132672074,0.494189082,1.877668539,25.1,35.91331269,4.52,A,3,3
0,0,0,0,0,0,1,1,1,1,3_in,899.3600288,6.1,0.827903482,1.746073971,0.664693434,1.51138443,3.4,31.51515152,4.45,A,3,3
0,0,0,0,0,0,1,1,1,1,3_in,1036.895101,2.6,0.331890822,2.496475476,0.387509889,1.614979936,0.2,33.65079365,4.48,Z,3,3
